,patent,title,abstract,forward_div_backward_cousine,forward_cosine,backward_cosine,new_word,new_word_reuse,new_bigram,new_bigram_reuse,new_trigram,new_trigram_reuse,new_word_comb,new_word_comb_reuse
314895,4625043,Ethylidenenorbornyl dimethylmethacryloxysilane, An ethylidenenorbornyl dimethylmethacryloxysilane represented by the general formula (I): ##STR1## wherein Y represents the formula: ##STR2## or the formula: ##STR3## ,inf,4.69E-08,0,0,0,0,0,0,0,0,0
5597762,9938286,Nalmefene salts as medicaments for reducing alcohol consumption or for preventing excessive alcohol consumption,"The present invention relates to new nalmefene salts which salts fall within at least one of the two following categories: non-hydrate forming salts and non-solvate forming salts. In particular, the invention relates to the hydrogen adipate salt, the hydrogen malonate salt, the lactate salt, the hydrogen fumarate salt, the hydrogen succinate salt, the benzene sulfonate salt, the hydrogen maleate salt and the salicylate salt of nalmefene. The present invention also relates to such salts for use in therapy.",6.14002199,0.035253767,0.005741635,0,0,0,0,0,0,4,4
5585941,9926367,Antibodies that bind human protein tyrosine phosphatase beta (HPTPbeta) and uses thereof,"Antibodies and antigen binding fragments thereof that bind to human protein tyrosine phosphatase beta (HPTPÃÂ²), and uses thereof.",5.274375807,0.031994332,0.006065994,0,0,0,0,0,0,73,73
5493667,9833483,Composition for inducing proliferation or accumulation of regulatory T cells,"It was found that bacteria belonging to the genus Clostridium induce accumulation of regulatory T cells (Treg cells) in the colon. Moreover, the present inventors found that regulatory T cells (Treg cells) induced by from these bacteria suppressed proliferation of effector T-cells. From these findings, the present inventors found that the use of bacteria belonging to the genus Clostridium or a physiologically active substance derived therefrom made it possible to induce proliferation or accumulation of regulatory T cells (Treg cells), and further to suppress immune functions.",5.131009377,0.035637166,0.006945449,0,0,0,0,0,0,20,20
5521632,9861630,"1-[2-(2,4-dimethylphenylsulfanyl)-phenyl]piperazine as a compound with combined serotonin reuptake, 5-HT3 and 5-HT1A activity for the treatment of cognitive impairment","1-[2-(2,4-dimethylphenylsulphanyl)phenyl)]piperazine exhibits potent activity on SERT, 5-HT3 and 5-HT1A and may as such be useful for the treatment of cognitive impairment, especially in depressed patients.",5.10180833,0.017255129,0.003382159,0,0,0,0,0,0,24,24
5487499,9827276,Composition for inducing proliferation or accumulation of regulatory T cells,"It was found that bacteria belonging to the genus Clostridium induce accumulation of regulatory T cells (Treg cells) in the colon. Moreover, the present inventors found that regulatory T cells (Treg cells) induced by from these bacteria suppressed proliferation of effector T-cells. From these findings, the present inventors found that the use of bacteria belonging to the genus Clostridium or a physiologically active substance derived therefrom made it possible to induce proliferation or accumulation of regulatory T cells (Treg cells), and further to suppress immune functions.",4.956308452,0.039251063,0.007919415,0,0,0,0,0,0,2,2
5567502,9907793,Pharmaceutical preparation containing oxycodone and naloxone,"The invention concerns a storage stable pharmaceutical preparation comprising oxycodone and naloxone for use in pain therapy, with the active compounds being released from the preparation in a sustained, invariant and independent manner.",4.935163159,0.028406087,0.005755856,0,0,0,0,0,0,1,1
5635349,9976121,T cells with increased immunosuppression resistance,"This invention relates to the treatment of cancer in an individual by administration of a population of modified T cells that express a recombinant cAMP phosphodiesterase (PDE) or a fragment thereof and an antigen receptor which binds specifically to cancer cells in the individual. Populations of modified T cells and methods of producing populations of modified T cells are provided, along with pharmaceutical compositions and methods of treatment.",4.89415069,0.050777156,0.01037507,0,0,0,0,0,0,60,60
5590841,9931303,Abuse deterrent formulations of amphetamine,The present invention relates generally to abuse-deterrent formulations containing dextroamphetamine sulfate.,4.851531062,0.010766558,0.002219208,0,0,0,0,0,0,61,61
5494718,9834538,"6-, 7-, or 8-substituted quinazolinone derivatives and compositions comprising and methods of using the same","Provided herein are quinazolinone compounds of formula (I), and pharmaceutically acceptable salts, solvates, clathrates, stereoisomers, and prodrugs thereof. Also provided herein are pharmaceutical compositions comprising the compounds, and methods of use thereof.",4.693218265,0.043250214,0.00921547,0,0,0,0,0,0,0,0
