,patent,title,abstract,forward_div_backward_cousine,forward_cosine,backward_cosine,new_word,new_word_reuse,new_bigram,new_bigram_reuse,new_trigram,new_trigram_reuse,new_word_comb,new_word_comb_reuse
5609402,9950010,Genetically-modified cells comprising a modified human T cell receptor alpha constant region gene,"Disclosed herein is a genetically-modified cell comprising in its genome a modified human T cell receptor alpha constant region gene, wherein the cell has reduced cell-surface expression of the endogenous T cell receptor. The present disclosure further relates to methods for producing such a genetically-modified cell, and to methods of using such a cell for treating a disease in a subject.",0.0,0.0,0.020074628,0,0,0,0,0,0,6,14
5609403,9950011,Genetically-modified cells comprising a modified human T cell receptor alpha constant region gene,"Disclosed herein is a genetically-modified cell comprising in its genome a modified human T cell receptor alpha constant region gene, wherein the cell has reduced cell-surface expression of the endogenous T cell receptor. The present disclosure further relates to methods for producing such a genetically-modified cell, and to methods of using such a cell for treating a disease in a subject.",0.0,0.0,0.019710187,0,0,0,0,0,0,0,0
5610455,9951069,Bicyclic inhibitors of histone deacetylase,"Provided herein are compounds and pharmaceutically acceptable salts thereof, and pharmaceutical compositions thereof, which are useful in the treatment of conditions associated with inhibition of HDAC (e.g., HDAC2).",0.0,0.0,0.013773683,0,0,0,0,0,0,0,0
5618999,9959671,"System and method for capturing, processing and rendering data through a template-driven processing pipeline","A system and method are provided which generate a three-dimensional model of a subject from continuous capture of images or video on a hand-held portable device, such as the typical consumer Ã¢ÂÂsmartphone.Ã¢ÂÂ The system may comprise a depth sensor, an integrated digital camera, an inertial measurement unit, and a template-driven data processing pipeline. The pipeline receives and processes depth, color and inertial measurement data to produce a real-time three-dimensional rendering of the subject. The system may also allow for coordination of multiple connected devices such that processing functions may be allocated to different devices. A user may save the rendering in a variety of different formats and transmit it to multiple devices via any conventional means available. The system is thread-safe to prevent crashes. It is also platform-agnostic and may operate on a variety of hardware and software platforms on different types and brands of devices without re-programming.",0.0,0.0,0.050238255,0,0,0,0,0,0,141,141
5620813,9961501,Method and system for correcting GPS-based Position information using local correction information in a network of moving things,"Systems and methods are described that use anchors to correct satellite-based geographic positioning data in a network of moving things. A plurality of anchor nodes using low-cost, non-differential GPS capable receiver may be used to correct positioning information of a plurality of other nodes of a network of moving things. Nodes in the network may share correction information produced by the anchor nodes with neighboring nodes, enabling other nodes of the network to correct positioning information produced by their own receivers of satellite-based geo-positioning information.",0.0,0.0,0.037043374,0,0,0,0,0,0,6,6
5622463,9963162,Cart monitoring system supporting unicast and multicast command transmissions to wheel assemblies,"A system for monitoring shopping carts or other human-propelled carts includes wireless access points that communicate bi-directionally on a wireless network with wheel assemblies of the carts. The system supports both unicast and multicast command transmissions from the access points to the wheel assemblies, including multicast transmissions in which the target wheel assemblies are specified in terms of their states. For example, an access point can transmit a command that is addressed to all wheel assemblies that are locked, or to all wheel assemblies that are moving.",0.0,0.0,0.032403853,0,0,0,0,0,0,20,20
5623840,9964546,C peptide detection by mass spectrometry,"Methods are described for measuring the amount of C peptide in a sample. More specifically, mass spectrometric methods are described for detecting and quantifying C peptide in a sample utilizing on-line extraction methods coupled with tandem mass spectrometric or high resolution/high accuracy mass spectrometric techniques.",0.0,0.0,0.017061219,0,0,0,0,0,0,0,0
5627372,9968102,Bowl cooling jacket for industrial mixers,"A cooling jacket for use with an industrial mixer that includes a bowl sheet, including a first horizontal rail mounted lengthwise across the top portion of the rear section of the bowl sheet; a second horizontal rail mounted lengthwise across the top portion of the front section of the bowl sheet; a plurality of vertical rails mounted on the rear section of the bowl sheet in a staggered pattern; a plurality of vertical rails mounted on the front section of the bowl sheet in a staggered pattern; a plurality of horizontal rails mounted across the bottom edge of the bowl sheet, wherein each rail is mounted between and perpendicular to certain of the vertical rails on the rear and front sections of the bowl sheet; wherein the first and second horizontal rails, vertical rails, and horizontal rails define a first coolant channel on the rear section of the bowl sheet and a second coolant channel of the front surface of the bowl sheet; and a plurality of channel covers mounted to the various vertical rails for enclosing the coolant channels.",0.0,0.0,0.024752069,0,0,0,0,0,0,0,0
5627883,9968618,Combination therapies for the treatment of Alzheimer's disease and related disorders,"The present invention relates to combination therapies for treating Alzheimer's disease or an amyloidosis-associated pathological condition comprising co-administering a therapeutically effective amount of a first compound, and a therapeutically effective amount of a second compound. In certain embodiments, the first compound or the second compound inhibits AB peptide polymerization; is an anti-inflammatory; improves cognitive function, mood, or social behavior; is associated with Tau or alpha-synuclein; or regulates amyloid peptide washout.",0.0,0.0,0.0087151853,0,0,0,0,0,0,0,0
5629235,9969975,Genetically-modified cells comprising a modified human T cell receptor alpha constant region gene,"Disclosed herein is a genetically-modified cell comprising in its genome a modified human T cell receptor alpha constant region gene, wherein the cell has reduced cell-surface expression of the endogenous T cell receptor. The present disclosure further relates to methods for producing such a genetically-modified cell, and to methods of using such a cell for treating a disease in a subject.",0.0,0.0,0.019874809,0,0,0,0,0,0,0,0
5630275,9971020,Radar data buffering,"A radar system includes transmitters and receivers configured for installation and use in a vehicle. The transmitters transmit radio signals. The receivers receive radio signals that include the transmitted radio signals reflected from objects in an environment. Each receiver has an RF front end, an analog-to-digital converter (ADC), a digital signal processor, and a controller. The digital signal processor processes the data from the ADC and stores data samples in a buffer. The buffer operates in several modes defined by the controller. These modes include replay mode, loopback mode, quiet mode, and throttle mode. By controlling the buffer, the same received samples can be processed in multiple ways to generate information on targets at different ranges and velocities. The buffer is read out and the data is processed further to enable the radar system to determine range, velocity, and angle of targets in the environment.",0.0,0.0,0.060458705,0,0,0,0,0,0,47,47
5630336,9971081,Lighting device and display device,"A backlight unit includes LEDs, a light guide plate, a prism sheet, exiting light reflecting portions, prisms, concave lenticular lenses, and flat portions. The concave lenticular lenses are configured such that an occupancy rate of concave cylindrical lenses with respect to the second direction is higher in an area closer to a light entering surface with respect to the first direction and the occupancy rate is lower in an area farther from the light entering surface. The flat portions are formed adjacent to the concave cylindrical lenses with respect to the second direction such that an occupancy rate of flat portions with respect to the second direction is lower in an area closer to a light entering surface with respect to the first direction and the occupancy rate of the flat portions with respect to the second direction is higher in an area farther from the light entering surface.",0.0,0.0,0.054844905,0,0,0,0,0,0,0,0
